,medal_type,medal_code,medal_date,athlete_short_name,athlete_name,country_code,discipline_code
264,Bronze Medal,3,2021-07-27 00:00:00.0,CAIRA J,CAIRA Jenna,CAN,BSB
265,Bronze Medal,3,2021-07-27 00:00:00.0,ENTZMINGER E,ENTZMINGER Emma,CAN,BSB
266,Bronze Medal,3,2021-07-27 00:00:00.0,FRANKLIN L,FRANKLIN Larissa,CAN,BSB
267,Bronze Medal,3,2021-07-27 00:00:00.0,GILBERT J,GILBERT Jen,CAN,BSB
268,Bronze Medal,3,2021-07-27 00:00:00.0,GROENEWEGEN S,GROENEWEGEN Sara,CAN,BSB
269,Bronze Medal,3,2021-07-27 00:00:00.0,HAYWARD V,HAYWARD Victoria,CAN,BSB
270,Bronze Medal,3,2021-07-27 00:00:00.0,HARSHMAN K,HARSHMAN Kelsey,CAN,BSB
271,Bronze Medal,3,2021-07-27 00:00:00.0,LAWRIE D,LAWRIE Danielle,CAN,BSB
272,Bronze Medal,3,2021-07-27 00:00:00.0,LEUNG J,LEUNG Janet,CAN,BSB
273,Bronze Medal,3,2021-07-27 00:00:00.0,LYE J,LYE Joey,CAN,BSB
274,Bronze Medal,3,2021-07-27 00:00:00.0,POLIDORI E,POLIDORI Erika,CAN,BSB
275,Bronze Medal,3,2021-07-27 00:00:00.0,RAFTER K,RAFTER Kaleigh,CAN,BSB
276,Bronze Medal,3,2021-07-27 00:00:00.0,REGULA L,REGULA Lauren,CAN,BSB
277,Bronze Medal,3,2021-07-27 00:00:00.0,SALLING J,SALLING Jenn,CAN,BSB
278,Bronze Medal,3,2021-07-27 00:00:00.0,WIDEMAN N,WIDEMAN Natalie,CAN,BSB
279,Gold Medal,1,2021-07-27 00:00:00.0,FUNK R,FUNK Ricarda,GER,CSL
280,Silver Medal,2,2021-07-27 00:00:00.0,CHOURRAUT M,CHOURRAUT Maialen,ESP,CSL
281,Bronze Medal,3,2021-07-27 00:00:00.0,FOX J,FOX Jessica,AUS,CSL
282,Gold Medal,1,2021-07-27 00:00:00.0,NEFF J,NEFF Jolanda,SUI,MTB
283,Silver Medal,2,2021-07-27 00:00:00.0,FREI S,FREI Sina,SUI,MTB
284,Bronze Medal,3,2021-07-27 00:00:00.0,INDERGAND L,INDERGAND Linda,SUI,MTB
285,Gold Medal,1,2021-07-27 00:00:00.0,CHEN Y,CHEN Yuxi,CHN,DIV
286,Gold Medal,1,2021-07-27 00:00:00.0,ZHANG J,ZHANG Jiaqi,CHN,DIV
287,Silver Medal,2,2021-07-27 00:00:00.0,SCHNELL D,SCHNELL Delaney,USA,DIV
288,Silver Medal,2,2021-07-27 00:00:00.0,PARRATTO J,PARRATTO Jessica,USA,DIV
289,Bronze Medal,3,2021-07-27 00:00:00.0,AGUNDEZ GARCIA G,AGUNDEZ GARCIA Gabriela,MEX,DIV
290,Bronze Medal,3,2021-07-27 00:00:00.0,OROZCO LOZA A,OROZCO LOZA Alejandra,MEX,DIV
291,Gold Medal,1,2021-07-27 00:00:00.0,WERTH I,WERTH Isabell,GER,EQU
292,Gold Medal,1,2021-07-27 00:00:00.0,von BREDOW-WERNDL Jessica,von BREDOW-WERNDL Jessica,GER,EQU
293,Gold Medal,1,2021-07-27 00:00:00.0,SCHNEIDER D,SCHNEIDER Dorothee,GER,EQU
294,Silver Medal,2,2021-07-27 00:00:00.0,LYLE A,LYLE Adrienne,USA,EQU
295,Silver Medal,2,2021-07-27 00:00:00.0,SCHUT-KERY S,SCHUT-KERY Sabine,USA,EQU
296,Silver Medal,2,2021-07-27 00:00:00.0,PETERS S,PETERS Steffen,USA,EQU
297,Bronze Medal,3,2021-07-27 00:00:00.0,DUJARDIN C,DUJARDIN Charlotte,GBR,EQU
298,Bronze Medal,3,2021-07-27 00:00:00.0,FRY C,FRY Charlotte,GBR,EQU
299,Bronze Medal,3,2021-07-27 00:00:00.0,HESTER C,HESTER Carl,GBR,EQU
300,Gold Medal,1,2021-07-27 00:00:00.0,BELJAJEVA J,BELJAJEVA Julia,EST,FEN
301,Gold Medal,1,2021-07-27 00:00:00.0,LEHIS K,LEHIS Katrina,EST,FEN
302,Gold Medal,1,2021-07-27 00:00:00.0,KIRPU E,KIRPU Erika,EST,FEN
303,Gold Medal,1,2021-07-27 00:00:00.0,EMBRICH I,EMBRICH Irina,EST,FEN
304,Silver Medal,2,2021-07-27 00:00:00.0,CHOI I,CHOI Injeong,KOR,FEN
305,Silver Medal,2,2021-07-27 00:00:00.0,LEE H,LEE Hyein,KOR,FEN
306,Silver Medal,2,2021-07-27 00:00:00.0,KANG YM,KANG Young Mi,KOR,FEN
307,Silver Medal,2,2021-07-27 00:00:00.0,SONG S,SONG Sera,KOR,FEN
308,Bronze Medal,3,2021-07-27 00:00:00.0,SANTUCCIO A,SANTUCCIO Alberta,ITA,FEN
309,Bronze Medal,3,2021-07-27 00:00:00.0,ISOLA F,ISOLA Federica,ITA,FEN
310,Bronze Medal,3,2021-07-27 00:00:00.0,FIAMINGO R,FIAMINGO Rossella,ITA,FEN
311,Bronze Medal,3,2021-07-27 00:00:00.0,NAVARRIA M,NAVARRIA Mara,ITA,FEN
312,Gold Medal,1,2021-07-27 00:00:00.0,NAGASE T,NAGASE Takanori,JPN,JUD
313,Silver Medal,2,2021-07-27 00:00:00.0,MOLLAEI S,MOLLAEI Saeid,MGL,JUD
314,Bronze Medal,3,2021-07-27 00:00:00.0,BORCHASHVILI S,BORCHASHVILI Shamil,AUT,JUD
315,Bronze Medal,3,2021-07-27 00:00:00.0,CASSE M,CASSE Matthias,BEL,JUD
316,Gold Medal,1,2021-07-27 00:00:00.0,AGBEGNENOU C,AGBEGNENOU Clarisse,FRA,JUD
317,Silver Medal,2,2021-07-27 00:00:00.0,TRSTENJAK T,TRSTENJAK Tina,SLO,JUD
318,Bronze Medal,3,2021-07-27 00:00:00.0,BEAUCHEMIN-PINARD,BEAUCHEMIN-PINARD Catherine,CAN,JUD
319,Bronze Medal,3,2021-07-27 00:00:00.0,CENTRACCHIO M,CENTRACCHIO Maria,ITA,JUD
320,Gold Medal,1,2021-07-27 00:00:00.0,JIANG R,JIANG Ranxin,CHN,SHO
321,Gold Medal,1,2021-07-27 00:00:00.0,PANG W,PANG Wei,CHN,SHO
322,Silver Medal,2,2021-07-27 00:00:00.0,BATSARASHKINA V,BATSARASHKINA Vitalina,ROC,SHO
323,Silver Medal,2,2021-07-27 00:00:00.0,CHERNOUSOV A,CHERNOUSOV Artem,ROC,SHO
324,Bronze Medal,3,2021-07-27 00:00:00.0,KOSTEVYCH O,KOSTEVYCH Olena,UKR,SHO
325,Bronze Medal,3,2021-07-27 00:00:00.0,OMELCHUK O,OMELCHUK Oleh,UKR,SHO
326,Gold Medal,1,2021-07-27 00:00:00.0,YANG Q,YANG Qian,CHN,SHO
327,Gold Medal,1,2021-07-27 00:00:00.0,YANG H,YANG Haoran,CHN,SHO
328,Silver Medal,2,2021-07-27 00:00:00.0,KOZENIESKY L,KOZENIESKY Lucas,USA,SHO
329,Silver Medal,2,2021-07-27 00:00:00.0,TUCKER MC,TUCKER Mary Carolynn,USA,SHO
330,Bronze Medal,3,2021-07-27 00:00:00.0,KARIMOVA Y,KARIMOVA Yulia,ROC,SHO
331,Bronze Medal,3,2021-07-27 00:00:00.0,KAMENSKIY S,KAMENSKIY Sergey,ROC,SHO
332,Gold Medal,1,2021-07-27 00:00:00.0,FERREIRA I,FERREIRA Italo,BRA,SRF
333,Silver Medal,2,2021-07-27 00:00:00.0,IGARASHI K,IGARASHI Kanoa,JPN,SRF
334,Bronze Medal,3,2021-07-27 00:00:00.0,WRIGHT O,WRIGHT Owen,AUS,SRF
335,Gold Medal,1,2021-07-27 00:00:00.0,MOORE C,MOORE Carissa,USA,SRF
336,Silver Medal,2,2021-07-27 00:00:00.0,BUITENDAG B,BUITENDAG Bianca,RSA,SRF
337,Bronze Medal,3,2021-07-27 00:00:00.0,TSUZUKI A,TSUZUKI Amuro,JPN,SRF
338,Gold Medal,1,2021-07-27 00:00:00.0,RYLOV E,RYLOV Evgeny,ROC,SWM
339,Silver Medal,2,2021-07-27 00:00:00.0,KOLESNIKOV K,KOLESNIKOV Kliment,ROC,SWM
340,Bronze Medal,3,2021-07-27 00:00:00.0,MURPHY R,MURPHY Ryan,USA,SWM
341,Gold Medal,1,2021-07-27 00:00:00.0,DEAN T,DEAN Tom,GBR,SWM
342,Silver Medal,2,2021-07-27 00:00:00.0,SCOTT D,SCOTT Duncan,GBR,SWM
343,Bronze Medal,3,2021-07-27 00:00:00.0,SCHEFFER F,SCHEFFER Fernando,BRA,SWM
344,Gold Medal,1,2021-07-27 00:00:00.0,McKEOWN K,McKEOWN Kaylee,AUS,SWM
345,Silver Medal,2,2021-07-27 00:00:00.0,MASSE K,MASSE Kylie,CAN,SWM
346,Bronze Medal,3,2021-07-27 00:00:00.0,SMITH R,SMITH Regan,USA,SWM
347,Gold Medal,1,2021-07-27 00:00:00.0,JACOBY L,JACOBY Lydia,USA,SWM
348,Silver Medal,2,2021-07-27 00:00:00.0,SCHOENMAKER T,SCHOENMAKER Tatjana,RSA,SWM
349,Bronze Medal,3,2021-07-27 00:00:00.0,KING L,KING Lilly,USA,SWM
350,Gold Medal,1,2021-07-27 00:00:00.0,LARIN V,LARIN Vladislav,ROC,TKW
351,Silver Medal,2,2021-07-27 00:00:00.0,GEORGIEVSKI D,GEORGIEVSKI Dejan,MKD,TKW
352,Bronze Medal,3,2021-07-27 00:00:00.0,IN KD,IN Kyo Don,KOR,TKW
353,Bronze Medal,3,2021-07-27 00:00:00.0,ALBA CASTILLO RY,ALBA CASTILLO Rafael Yunier,CUB,TKW
354,Gold Medal,1,2021-07-27 00:00:00.0,MANDIC M,MANDIC Milica,SRB,TKW
355,Silver Medal,2,2021-07-27 00:00:00.0,LEE D,LEE Dabin,KOR,TKW
356,Bronze Medal,3,2021-07-27 00:00:00.0,LAURIN A,LAURIN Althea,FRA,TKW
357,Bronze Medal,3,2021-07-27 00:00:00.0,WALKDEN B,WALKDEN Bianca,GBR,TKW
358,Gold Medal,1,2021-07-27 00:00:00.0,DUFFY F,DUFFY Flora,BER,TRI
359,Silver Medal,2,2021-07-27 00:00:00.0,TAYLOR-BROWN G,TAYLOR-BROWN Georgia,GBR,TRI
360,Bronze Medal,3,2021-07-27 00:00:00.0,ZAFERES K,ZAFERES Katie,USA,TRI
361,Gold Medal,1,2021-07-27 00:00:00.0,KUO HC,KUO Hsing-Chun,TPE,WLF
362,Silver Medal,2,2021-07-27 00:00:00.0,GURYEVA P,GURYEVA Polina,TKM,WLF
363,Bronze Medal,3,2021-07-27 00:00:00.0,ANDOH M,ANDOH Mikiko,JPN,WLF
364,Gold Medal,1,2021-07-27 00:00:00.0,CHARRON MG,CHARRON Maude G,CAN,WLF
365,Silver Medal,2,2021-07-27 00:00:00.0,BORDIGNON G,BORDIGNON Giorgia,ITA,WLF
366,Bronze Medal,3,2021-07-27 00:00:00.0,CHEN WH,CHEN Wen-Huei,TPE,WLF
367,Gold Medal,1,2021-07-28 00:00:00.0,MIEZIS N,MIEZIS Nauris,LAT,BK3
368,Gold Medal,1,2021-07-28 00:00:00.0,LASMANIS K,LASMANIS Karlis,LAT,BK3
369,Gold Medal,1,2021-07-28 00:00:00.0,CAVARS A,CAVARS Agnis,LAT,BK3
370,Gold Medal,1,2021-07-28 00:00:00.0,KRUMINS E,KRUMINS Edgars,LAT,BK3
371,Silver Medal,2,2021-07-28 00:00:00.0,ZUEV A,ZUEV Alexander,ROC,BK3
372,Silver Medal,2,2021-07-28 00:00:00.0,KARPENKOV I,KARPENKOV Ilia,ROC,BK3
373,Silver Medal,2,2021-07-28 00:00:00.0,PISKLOV K,PISKLOV Kirill,ROC,BK3
374,Silver Medal,2,2021-07-28 00:00:00.0,SHAROV S,SHAROV Stanislav,ROC,BK3
375,Bronze Medal,3,2021-07-28 00:00:00.0,DOMOVIC BULUT D,DOMOVIC BULUT Dusan,SRB,BK3
376,Bronze Medal,3,2021-07-28 00:00:00.0,MAJSTOROVIC D,MAJSTOROVIC Dejan,SRB,BK3
377,Bronze Medal,3,2021-07-28 00:00:00.0,RATKOV A,RATKOV Aleksandar,SRB,BK3
378,Bronze Medal,3,2021-07-28 00:00:00.0,VASIC M,VASIC Mihailo,SRB,BK3
379,Gold Medal,1,2021-07-28 00:00:00.0,YOUNG J,YOUNG Jacquelyn,USA,BK3
380,Gold Medal,1,2021-07-28 00:00:00.0,GRAY A,GRAY Allisha,USA,BK3
381,Gold Medal,1,2021-07-28 00:00:00.0,PLUM K,PLUM Kelsey,USA,BK3
382,Gold Medal,1,2021-07-28 00:00:00.0,DOLSON S,DOLSON Stefanie,USA,BK3
383,Silver Medal,2,2021-07-28 00:00:00.0,KOZIK Y,KOZIK Yulia,ROC,BK3
384,Silver Medal,2,2021-07-28 00:00:00.0,LOGUNOVA A,LOGUNOVA Anastasiia,ROC,BK3
385,Silver Medal,2,2021-07-28 00:00:00.0,FROLKINA E,FROLKINA Evgeniia,ROC,BK3
386,Silver Medal,2,2021-07-28 00:00:00.0,FROLKINA O,FROLKINA Olga,ROC,BK3
387,Bronze Medal,3,2021-07-28 00:00:00.0,ZHANG Z,ZHANG Zhiting,CHN,BK3
388,Bronze Medal,3,2021-07-28 00:00:00.0,WAN J,WAN Jiyuan,CHN,BK3
389,Bronze Medal,3,2021-07-28 00:00:00.0,YANG S,YANG Shuyu,CHN,BK3
390,Bronze Medal,3,2021-07-28 00:00:00.0,WANG L,WANG Lili,CHN,BK3
391,Gold Medal,1,2021-07-28 00:00:00.0,HASHIMOTO D,HASHIMOTO Daiki,JPN,GAR
392,Silver Medal,2,2021-07-28 00:00:00.0,XIAO R,XIAO Ruoteng,CHN,GAR
393,Bronze Medal,3,2021-07-28 00:00:00.0,NAGORNYY N,NAGORNYY Nikita,ROC,GAR
394,Gold Medal,1,2021-07-28 00:00:00.0,ROGLIC P,ROGLIC Primoz,SLO,CRD
395,Silver Medal,2,2021-07-28 00:00:00.0,DUMOULIN T,DUMOULIN Tom,NED,CRD
396,Bronze Medal,3,2021-07-28 00:00:00.0,DENNIS R,DENNIS Rohan,AUS,CRD
397,Gold Medal,1,2021-07-28 00:00:00.0,van VLEUTEN A,van VLEUTEN Annemiek,NED,CRD
398,Silver Medal,2,2021-07-28 00:00:00.0,REUSSER M,REUSSER Marlen,SUI,CRD
399,Bronze Medal,3,2021-07-28 00:00:00.0,van der BREGGEN A,van der BREGGEN Anna,NED,CRD
400,Gold Medal,1,2021-07-28 00:00:00.0,WANG Z,WANG Zongyuan,CHN,DIV
401,Gold Medal,1,2021-07-28 00:00:00.0,XIE S,XIE Siyi,CHN,DIV
402,Silver Medal,2,2021-07-28 00:00:00.0,CAPOBIANCO A,CAPOBIANCO Andrew,USA,DIV
403,Silver Medal,2,2021-07-28 00:00:00.0,HIXON M,HIXON Michael,USA,DIV
404,Bronze Medal,3,2021-07-28 00:00:00.0,HAUSDING P,HAUSDING Patrick,GER,DIV
405,Bronze Medal,3,2021-07-28 00:00:00.0,RUDIGER L,RUDIGER Lars,GER,DIV
406,Gold Medal,1,2021-07-28 00:00:00.0,von BREDOW-WERNDL Jessica,von BREDOW-WERNDL Jessica,GER,EQU
407,Silver Medal,2,2021-07-28 00:00:00.0,WERTH I,WERTH Isabell,GER,EQU
408,Bronze Medal,3,2021-07-28 00:00:00.0,DUJARDIN C,DUJARDIN Charlotte,GBR,EQU
409,Gold Medal,1,2021-07-28 00:00:00.0,OH S,OH Sanguk,KOR,FEN
410,Gold Medal,1,2021-07-28 00:00:00.0,KIM J,KIM Junho,KOR,FEN
411,Gold Medal,1,2021-07-28 00:00:00.0,KIM J,KIM Junghwan,KOR,FEN
412,Gold Medal,1,2021-07-28 00:00:00.0,GU B,GU Bongil,KOR,FEN
413,Silver Medal,2,2021-07-28 00:00:00.0,MONTANO A,MONTANO Aldo,ITA,FEN
414,Silver Medal,2,2021-07-28 00:00:00.0,SAMELE L,SAMELE Luigi,ITA,FEN
415,Silver Medal,2,2021-07-28 00:00:00.0,BERRE' E,BERRE' Enrico,ITA,FEN
416,Silver Medal,2,2021-07-28 00:00:00.0,CURATOLI L,CURATOLI Luca,ITA,FEN
417,Bronze Medal,3,2021-07-28 00:00:00.0,SZILAGYI A,SZILAGYI Aron,HUN,FEN
418,Bronze Medal,3,2021-07-28 00:00:00.0,SZATMARI A,SZATMARI Andras,HUN,FEN
419,Bronze Medal,3,2021-07-28 00:00:00.0,DECSI T,DECSI Tamas,HUN,FEN
420,Bronze Medal,3,2021-07-28 00:00:00.0,GEMESI C,GEMESI Csanad,HUN,FEN
421,Gold Medal,1,2021-07-28 00:00:00.0,BEKAURI L,BEKAURI Lasha,GEO,JUD
422,Silver Medal,2,2021-07-28 00:00:00.0,TRIPPEL E,TRIPPEL Eduard,GER,JUD
423,Bronze Medal,3,2021-07-28 00:00:00.0,BOBONOV D,BOBONOV Davlat,UZB,JUD
424,Bronze Medal,3,2021-07-28 00:00:00.0,TOTH K,TOTH Krisztian,HUN,JUD
425,Gold Medal,1,2021-07-28 00:00:00.0,ARAI C,ARAI Chizuru,JPN,JUD
426,Silver Medal,2,2021-07-28 00:00:00.0,POLLERES M,POLLERES Michaela,AUT,JUD
427,Bronze Medal,3,2021-07-28 00:00:00.0,van DIJKE S,van DIJKE Sanne,NED,JUD
428,Bronze Medal,3,2021-07-28 00:00:00.0,TAIMAZOVA M,TAIMAZOVA Madina,ROC,JUD
429,Gold Medal,1,2021-07-28 00:00:00.0,BOUCHERON H,BOUCHERON Hugo,FRA,ROW
430,Gold Medal,1,2021-07-28 00:00:00.0,ANDRODIAS M,ANDRODIAS Matthieu,FRA,ROW
431,Silver Medal,2,2021-07-28 00:00:00.0,BROENINK S,BROENINK Stef,NED,ROW
432,Silver Medal,2,2021-07-28 00:00:00.0,TWELLAAR M,TWELLAAR Melvin,NED,ROW
433,Bronze Medal,3,2021-07-28 00:00:00.0,LIU Z,LIU Zhiyu,CHN,ROW
434,Bronze Medal,3,2021-07-28 00:00:00.0,ZHANG L,ZHANG Liang,CHN,ROW
435,Gold Medal,1,2021-07-28 00:00:00.0,TURRIN S,TURRIN Spencer,AUS,ROW
436,Gold Medal,1,2021-07-28 00:00:00.0,HARGREAVES J,HARGREAVES Jack,AUS,ROW
437,Gold Medal,1,2021-07-28 00:00:00.0,HILL A,HILL Alexander,AUS,ROW
438,Gold Medal,1,2021-07-28 00:00:00.0,PURNELL A,PURNELL Alexander,AUS,ROW
439,Silver Medal,2,2021-07-28 00:00:00.0,PASCARI C,PASCARI Cosmin,ROU,ROW
440,Silver Medal,2,2021-07-28 00:00:00.0,SEMCIUC MV,SEMCIUC Mugurel Vasile,ROU,ROW
441,Silver Medal,2,2021-07-28 00:00:00.0,TIGANESCU M,TIGANESCU Mihaita,ROU,ROW
442,Silver Medal,2,2021-07-28 00:00:00.0,BERARIU S,BERARIU Stefan,ROU,ROW
443,Bronze Medal,3,2021-07-28 00:00:00.0,CASTALDO M,CASTALDO Matteo,ITA,ROW
444,Bronze Medal,3,2021-07-28 00:00:00.0,VICINO G,VICINO Giuseppe,ITA,ROW
445,Bronze Medal,3,2021-07-28 00:00:00.0,LODO M,LODO Matteo,ITA,ROW
446,Bronze Medal,3,2021-07-28 00:00:00.0,di COSTANZO M,di COSTANZO Marco,ITA,ROW
447,Gold Medal,1,2021-07-28 00:00:00.0,WIERSMA A,WIERSMA Abe,NED,ROW
448,Gold Medal,1,2021-07-28 00:00:00.0,WIETEN T,WIETEN Tone,NED,ROW
449,Gold Medal,1,2021-07-28 00:00:00.0,METSEMAKERS K,METSEMAKERS Koen,NED,ROW
450,Gold Medal,1,2021-07-28 00:00:00.0,UITTENBOGAARD D,UITTENBOGAARD Lucas Theodoor Dirk,NED,ROW
451,Silver Medal,2,2021-07-28 00:00:00.0,GROOM A,GROOM Angus,GBR,ROW
452,Silver Medal,2,2021-07-28 00:00:00.0,LEASK H,LEASK Harry,GBR,ROW
453,Silver Medal,2,2021-07-28 00:00:00.0,BARRAS T,BARRAS Tom,GBR,ROW
454,Silver Medal,2,2021-07-28 00:00:00.0,BEAUMONT J,BEAUMONT Jack,GBR,ROW
455,Bronze Medal,3,2021-07-28 00:00:00.0,GIRDLESTONE C,GIRDLESTONE Cameron,AUS,ROW
456,Bronze Medal,3,2021-07-28 00:00:00.0,ANTILL C,ANTILL Caleb,AUS,ROW
457,Bronze Medal,3,2021-07-28 00:00:00.0,CLEARY J,CLEARY Jack,AUS,ROW
458,Bronze Medal,3,2021-07-28 00:00:00.0,LETCHER L,LETCHER Luke,AUS,ROW
459,Gold Medal,1,2021-07-28 00:00:00.0,BODNAR A,BODNAR Ancuta,ROU,ROW
460,Gold Medal,1,2021-07-28 00:00:00.0,RADIS S,RADIS Simona,ROU,ROW
461,Silver Medal,2,2021-07-28 00:00:00.0,OSBORNE H,OSBORNE Hannah,NZL,ROW
462,Silver Medal,2,2021-07-28 00:00:00.0,DONOGHUE B,DONOGHUE Brooke,NZL,ROW
463,Bronze Medal,3,2021-07-28 00:00:00.0,de JONG R,de JONG Roos,NED,ROW
464,Bronze Medal,3,2021-07-28 00:00:00.0,SCHEENAARD L,SCHEENAARD Lisa,NED,ROW
465,Gold Medal,1,2021-07-28 00:00:00.0,STEPHAN L,STEPHAN Lucy,AUS,ROW
466,Gold Medal,1,2021-07-28 00:00:00.0,MORRISON J,MORRISON Jessica,AUS,ROW
467,Gold Medal,1,2021-07-28 00:00:00.0,POPA R,POPA Rosemary,AUS,ROW
468,Gold Medal,1,2021-07-28 00:00:00.0,McINTYRE A,McINTYRE Annabelle,AUS,ROW
469,Silver Medal,2,2021-07-28 00:00:00.0,HOGERWERF E,HOGERWERF Ellen,NED,ROW
470,Silver Medal,2,2021-07-28 00:00:00.0,CLEVERING Y,CLEVERING Ymkje,NED,ROW
471,Silver Medal,2,2021-07-28 00:00:00.0,FLORIJN K,FLORIJN Karolien,NED,ROW
472,Silver Medal,2,2021-07-28 00:00:00.0,MEESTER V,MEESTER Veronique,NED,ROW
473,Bronze Medal,3,2021-07-28 00:00:00.0,HEGARTY E,HEGARTY Emily,IRL,ROW
474,Bronze Medal,3,2021-07-28 00:00:00.0,LAMBE E,LAMBE Eimear,IRL,ROW
475,Bronze Medal,3,2021-07-28 00:00:00.0,KEOGH A,KEOGH Aifric,IRL,ROW
476,Bronze Medal,3,2021-07-28 00:00:00.0,MURTAGH F,MURTAGH Fiona,IRL,ROW
477,Gold Medal,1,2021-07-28 00:00:00.0,ZHANG L,ZHANG Ling,CHN,ROW
478,Gold Medal,1,2021-07-28 00:00:00.0,CHEN Y,CHEN Yunxia,CHN,ROW
479,Gold Medal,1,2021-07-28 00:00:00.0,CUI X,CUI Xiaotong,CHN,ROW
480,Gold Medal,1,2021-07-28 00:00:00.0,LYU Y,LYU Yang,CHN,ROW
481,Silver Medal,2,2021-07-28 00:00:00.0,ZILLMANN K,ZILLMANN Katarzyna,POL,ROW
482,Silver Medal,2,2021-07-28 00:00:00.0,KOBUS-ZAWOJSKA A,KOBUS-ZAWOJSKA Agnieszka,POL,ROW
483,Silver Medal,2,2021-07-28 00:00:00.0,SAJDAK M,SAJDAK Maria,POL,ROW
484,Silver Medal,2,2021-07-28 00:00:00.0,WIELICZKO M,WIELICZKO Marta,POL,ROW
485,Bronze Medal,3,2021-07-28 00:00:00.0,MEREDITH R,MEREDITH Rowena,AUS,ROW
486,Bronze Medal,3,2021-07-28 00:00:00.0,HUDSON H,HUDSON Harriet,AUS,ROW
487,Bronze Medal,3,2021-07-28 00:00:00.0,THOMPSON R,THOMPSON Ria,AUS,ROW
488,Bronze Medal,3,2021-07-28 00:00:00.0,CRONIN C,CRONIN Caitlin,AUS,ROW
489,Gold Medal,1,2021-07-28 00:00:00.0,VAKURUNABILI J,VAKURUNABILI Josua,FIJ,RUG
490,Gold Medal,1,2021-07-28 00:00:00.0,DERENALAGI M,DERENALAGI Meli,FIJ,RUG
491,Gold Medal,1,2021-07-28 00:00:00.0,NACUQU W,NACUQU Waisea,FIJ,RUG
492,Gold Medal,1,2021-07-28 00:00:00.0,TUIMABA A,TUIMABA Aminiasi,FIJ,RUG
493,Gold Medal,1,2021-07-28 00:00:00.0,TUWAI J,TUWAI Jerry,FIJ,RUG
494,Gold Medal,1,2021-07-28 00:00:00.0,BOTITU V,BOTITU Vilimoni,FIJ,RUG
495,Gold Medal,1,2021-07-28 00:00:00.0,NASOKO K,NASOKO Kalione,FIJ,RUG
496,Gold Medal,1,2021-07-28 00:00:00.0,BOLACA N,BOLACA Napolioni,FIJ,RUG
497,Gold Medal,1,2021-07-28 00:00:00.0,TUIVUAKA A,TUIVUAKA Asaeli,FIJ,RUG
498,Gold Medal,1,2021-07-28 00:00:00.0,WAINIQOLO J,WAINIQOLO Jiuta,FIJ,RUG
499,Gold Medal,1,2021-07-28 00:00:00.0,RADRADRA S,RADRADRA Semi,FIJ,RUG
500,Gold Medal,1,2021-07-28 00:00:00.0,MAQALA S,MAQALA Sireli,FIJ,RUG
501,Gold Medal,1,2021-07-28 00:00:00.0,BALEIWAIRIKI IM,BALEIWAIRIKI Iosefo Masikau,FIJ,RUG
502,Silver Medal,2,2021-07-28 00:00:00.0,WARBRICK W,WARBRICK William,NZL,RUG
503,Silver Medal,2,2021-07-28 00:00:00.0,WARE R,WARE Regan,NZL,RUG
504,Silver Medal,2,2021-07-28 00:00:00.0,WEBBER J,WEBBER Joe,NZL,RUG
505,Silver Medal,2,2021-07-28 00:00:00.0,NG SHIU T,NG SHIU Tone,NZL,RUG
506,Silver Medal,2,2021-07-28 00:00:00.0,NICOLE A,NICOLE Amanaki,NZL,RUG
507,Silver Medal,2,2021-07-28 00:00:00.0,BAKER K,BAKER Kurt,NZL,RUG
508,Silver Medal,2,2021-07-28 00:00:00.0,COLLIER D,COLLIER Dylan,NZL,RUG
509,Silver Medal,2,2021-07-28 00:00:00.0,CURRY S,CURRY Scott,NZL,RUG
510,Silver Medal,2,2021-07-28 00:00:00.0,KNEWSTUBB A,KNEWSTUBB Andrew,NZL,RUG
511,Silver Medal,2,2021-07-28 00:00:00.0,McGARVEY-BLACK N,McGARVEY-BLACK Ngarohi,NZL,RUG
512,Silver Medal,2,2021-07-28 00:00:00.0,MIKKELSON T,MIKKELSON Tim,NZL,RUG
513,Silver Medal,2,2021-07-28 00:00:00.0,MOLIA S,MOLIA Sione,NZL,RUG
514,Silver Medal,2,2021-07-28 00:00:00.0,NANAI-SETURO E,NANAI-SETURO Etene,NZL,RUG
515,Bronze Medal,3,2021-07-28 00:00:00.0,ALVAREZ S,ALVAREZ Santiago,ARG,RUG
516,Bronze Medal,3,2021-07-28 00:00:00.0,BAZAN VELEZ L,BAZAN VELEZ Lautaro,ARG,RUG
517,Bronze Medal,3,2021-07-28 00:00:00.0,del MESTRE F,del MESTRE Felipe,ARG,RUG
518,Bronze Medal,3,2021-07-28 00:00:00.0,OSADCZUK M,OSADCZUK Matias,ARG,RUG
519,Bronze Medal,3,2021-07-28 00:00:00.0,ETCHART R,ETCHART Rodrigo,ARG,RUG
520,Bronze Medal,3,2021-07-28 00:00:00.0,REVOL G,REVOL Gaston,ARG,RUG
521,Bronze Medal,3,2021-07-28 00:00:00.0,GONZALEZ L,GONZALEZ Luciano,ARG,RUG
522,Bronze Medal,3,2021-07-28 00:00:00.0,MARE S,MARE Santiago,ARG,RUG
523,Bronze Medal,3,2021-07-28 00:00:00.0,MONETA M,MONETA Marcos,ARG,RUG
524,Bronze Medal,3,2021-07-28 00:00:00.0,CINTI L,CINTI Lucio,ARG,RUG
525,Bronze Medal,3,2021-07-28 00:00:00.0,MENDY I,MENDY Ignacio,ARG,RUG
